University,0
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,VD
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,AG
Fachhochschule Kalaidos - FHKD,
Forschungsinstitut für Opthalmologie - IRO,
Pädagogische Hochschule Wallis - PHVS,VS
Schweiz. Hochschule für Logopädie Rorschach - SHLR,
Eidg. Material und Prüfungsanstalt - EMPA,ZH
Robert Walser-Stiftung Bern - RWS,ZH
Universität Basel - BS,BS
Idiap Research Institute - IDIAP,
"NPO (Biblioth., Museen, Verwalt.) - NPO",FR
Universität Luzern - LU,LU
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,
Hochschule Luzern - HSLU,LU
Facoltà di Teologia di Lugano - FTL,TI
Staatsunabh. Theologische Hochschule Basel - STHB,BS
Franklin University Switzerland - FUS,GR
Physikal.-Meteorolog. Observatorium Davos - PMOD,GR
Pädagogische Hochschule Zürich - PHZFH,ZH
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",NE
Berner Fachhochschule - BFH,BE
Firmen/Privatwirtschaft - FP,GR
Forschungskommission - SAGE,LU
Swiss Center for Electronics and Microtech. - CSEM,
Centre de rech. sur l'environnement alpin - CREALP,UR
Forschungsanstalten Agroscope - AGS,
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,TI
Université de Neuchâtel - NE,GR
SUP della Svizzera italiana - SUPSI,
Istituto Svizzero di Roma - ISR,
Universität St. Gallen - SG,SG
Friedrich Miescher Institute - FMI,
HES de Suisse occidentale - HES-SO,SO
Schweizer Paraplegiker Forschung - SPF,
Eidg. Hochschulinstitut für Berufsbildung - EHB,
EPF Lausanne - EPFL,VD
Pädagogische Hochschule Zug - PHZG,ZG
Haute école pédagogique fribourgeoise - HEPFR,NE
Instituto Ricerche Solari Locarno - IRSOL,TI
Université de Lausanne - LA,VD
Biotechnologie Institut Thurgau - BITG,TG
Universität Bern - BE,BE
Pädagogische Hochschule Bern - PHBern,BE
Université de Genève - GE,GE
Universität Zürich - ZH,ZH
Kantonsspital St. Gallen - KSPSG,SG
Pädagogische Hochschule Schwyz - PHSZ,SZ
Pädagogische Hochschule Graubünden - PHGR,GR
Pädagogische Hochschule Schaffhausen - PHSH,SH
Forschungsinstitut für biologischen Landbau - FIBL,
Institut Universitaire Kurt Bösch - IUKB,
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,
Inst. Suisse de Spéléologie et Karstologie - ISSKA,
Interkant. Hochschule für Heilpädagogik ZH - HfH,GR
Haute école pédagogique du canton de Vaud - HEPL,GR
Université de Fribourg - FR,FR
Swiss Institute of Bioinformatics - SIB,GE
ETH Zürich - ETHZ,ZH
Institut für Kulturforschung Graubünden - IKG,GR
Zürcher Fachhochschule (ohne PH) - ZFH,
Pädagogische Hochschule Thurgau - PHTG,TG
Pädagogische Hochschule Luzern - PHLU,LU
Inst. de Hautes Etudes Internat. et du Dév - IHEID,
AO Research Institute - AORI,
Weitere Institute - FINST,
Weitere Spitäler - ASPIT,LU
Inst. universit. romand de Santé au Travail - IST,AR
Paul Scherrer Institut - PSI,AG
Pädagogische Hochschule Nordwestschweiz - PHFHNW,
Università della Svizzera italiana - USI,TI
Allergie- und Asthmaforschung - SIAF,
Ente Ospedaliero Cantonale - EOC,
Fachhochschule Ostschweiz - FHO,
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,
Pädagogische Hochschule St. Gallen - PHSG,SG
